word,meaning
봉건성,"봉건주의나 봉건 사상에 의해 정치, 사회, 문화 등에 나타나는 낡고 폐쇄적인 성질."
봉건적,봉건 제도와 같이 상하 관계의 질서를 중요시하고 근대 이전의 성격을 가지고 있는 것.
봉건주의,계급이 높은 사람이 권력을 가지고 계급이 낮은 사람을 종속시켜 다스리는 봉건 사회의 지배 이념.
봉고차,열 명 정도가 탈 수 있는 대형 자동차.
봉급쟁이,(낮잡아 이르는 말로) 봉급을 받아 생활하는 사람.
봉사단,자신의 이익을 생각하지 않고 남을 위하여 애써 일하는 사람들. 또는 그런 사람들이 모인 단체.
봉사자,자신의 이익을 생각하지 않고 남을 위하여 애써 일하는 사람.
봉쇄망,서로 연결된 채로 여러 곳에 퍼져 있어 어떤 것이 드나들지 못하도록 막는 조직.
봉우리,산에서 가장 높이 솟은 부분.
봉합선,옷이나 이불 등의 천 두 쪽을 맞대고 실로 꿰맨 줄.
봉화대,(옛날에) 나라 안에 난리나 적의 침입이 있을 때 신호로 연기나 불을 올릴 수 있게 돌로 높이 쌓은 것.
봉황새,"여러 동물의 모양을 하고 있으며, 복되고 길한 일을 상징하는 상상 속의 새."
부과금,액수를 매겨서 세금이나 벌금 등으로 물리는 돈.
부교수,"대학교수의 직위 중 하나로, 정교수보다 아래, 조교수보다 위인 직위."
부국강병,나라를 부유하게 하고 군대를 강하게 함.
부귀영화,"재산이 많고 지위가 높아 명예가 있으며, 그것을 세상에 드러내 마음껏 누리는 것."
부끄러움,부끄러워하는 느낌.
부담감,"어떤 의무나 책임, 일 등에 대해 느끼는 무거운 마음."
부담금,어떤 일에 책임을 지고 내야 하는 돈.
부담액,어떤 일에 대해 내야 하는 돈의 액수.
부당성,도리에 어긋나서 정당하지 않다고 여겨지는 성질.
부대설비,"건물 등에서 전기, 통신, 난방 장치 등과 같이 보조적으로 딸리는 설비."
부대시설,기본이 되는 건물에 딸려 있는 시설.
부대장,군대에서 한 부대를 지휘하고 관리하는 최고 책임자.
부대표,대표 다음가는 직위. 또는 그 직위에 있는 사람.
부도덕,도덕에 어긋나거나 도덕적이지 않음.
부도덕성,도덕에 어긋나거나 도덕적이지 않은 성질.
부동산,땅이나 건물과 같이 움직여 옮길 수 없는 재산.
부동표,"선거 때, 투표를 할 정당이나 후보자를 확실히 정하지 않은 사람의 표."
부둣가,부두가 있는 근처.
부등식,"수학에서, 왼쪽과 오른쪽의 값이 서로 같지 않음을 나타내는 식."
부등호,둘 이상의 수나 식의 값이 어느 쪽이 더 큰지를 나타내는 기호.
부락민,부락에 사는 사람.
부랑아,일정하게 사는 곳과 돌보아 주는 사람이 없이 떠돌아다니는 아이.
부랑자,일정하게 사는 곳과 하는 일 없이 떠돌아다니는 사람.
부문별,종류에 따라 나눈 범위나 부분에 따른 구별.
부반장,"학급, 부서 등의 반에서 반장을 도와 반의 일을 맡아보는 직위. 또는 그런 사람."
부부간,남편과 아내 사이.
부부애,남편과 아내 사이의 사랑.
부사격,"문장 안에서, 체언이 서술어를 꾸며 주는 구실을 함을 나타내는 격."
부사관,"군대에서 장교와 병사 사이에 있는 하사, 중사, 상사, 원사 계급."
부사장,회사에서 사장 바로 아래의 지위. 또는 그 지위에 있는 사람.
부사절,"문장 안에서, 주어와 서술어를 갖추고 부사어의 구실을 하는 절."
부사형,"동사, 형용사 등의 어간에 ‘-아’/‘-어’, ‘-게’, ‘-지’, ‘-고’ 등의 어미가 붙어 부사와 같은 기능을 하는 용언의 활용형."
부산물,어떤 일을 할 때 딸려서 일어나는 일이나 현상.
부상병,전투 중에 다쳐서 상처를 입은 군인.
부상자,몸에 상처를 입은 사람.
부성애,자식에 대한 아버지의 본능적인 사랑.
부속실,중심이 되는 방에 딸려 있는 방.
부속실,높은 지위에 있는 사람의 방에 딸려 비서 일을 보는 방.
부수입,본래 하는 일이 아닌 다른 일을 해서 버는 돈.
부수적,중심이 되거나 기본적인 것에 붙어서 따르는 것.
부스러기,(비유적으로) 양이나 가치가 적은 것.
부스럼,피부 속에 병균이 들어가서 생기는 염증.
부시장,"시장을 돕고 시장의 자리가 비었을 때 그 일을 대신하는, 시장 다음의 직위. 또는 그런 직위에 있는 사람."
부실화,내용이 충실하지 않게 되거나 실속이 없어짐.
부양책,가라앉은 것을 떠오르게 하는 대책.
부엉이,"올빼미와 비슷하게 생겼는데, 눈이 크고 머리에 양쪽으로 깃털이 나 있으며 주로 밤에 활동하는 새."
부엌데기,(낮잡아 이르는 말로) 부엌에서 음식을 만들고 설거지하는 일을 맡은 사람.
부역자,국가에 반역하는 일을 돕거나 함께 한 사람.
부유층,재물이 많아서 살림이 아주 넉넉한 사람들의 계층.
부의금,장례를 치르는 집을 돕기 위하여 주는 돈.
부인과,생식이나 호르몬과 관련하여 여성에게만 나타나는 질병을 치료하는 의학 분야. 또는 그 분야의 병원.
부인복,주로 결혼한 중년의 여자들이 입는 옷.
부자간,아버지와 아들 사이.
부자유,무엇에 얽매여서 마음대로 할 수 없음.
부자지간,아버지와 아들 사이.
부잣집,살림이 넉넉할 정도로 재물이 많은 집.
부재자,그 자리에 없는 사람.
부재자,"법률적으로, 등록된 주소지를 떠나 있는 사람."
부재중,자기 집이나 직장 등의 일정한 장소에 있지 않는 동안.
부적격자,어떤 것에 자격이 맞지 않는 사람.
부적응,어떤 조건이나 환경에 익숙해지지 못하거나 알맞게 바뀌지 못함.
부적합,어떤 일이나 조건에 알맞지 않음.
부전공,대학에서 전공 다음으로 연구하거나 공부하는 전문 분야.
부전자전,"아버지의 겉모습, 성격, 버릇 등이 아들에게 그대로 전해짐."
부정맥,고르지 않게 불규칙적으로 뛰는 맥박.
부정문,부정의 뜻을 나타내는 문장.
부정부패,도덕적으로 바르거나 깨끗하지 못함.
부정사,"영어 등의 문법에서, 수, 인칭, 시간 등에 제약을 받지 않는 동사의 형태."
부정적,그렇지 않다고 단정하거나 옳지 않다고 반대하는 것.
부정적,바람직하지 못한 것.
부조금,잔칫집이나 상을 당한 집에 도와주려고 내는 돈.
부조리,도리에 어긋나거나 이치에 맞지 않음. 또는 그런 일.
부족감,필요한 양이나 기준에 모자라거나 넉넉하지 않은 느낌.
부주의,어떤 일을 하는 데에 정신을 집중하지 않아 조심스럽지 않음.
부지깽이,"아궁이 등에 불을 땔 때, 불을 헤치거나 끌어내거나 하는 데 쓰는 막대기."
부지런,게으름을 부리지 않고 꾸준하게 일을 함.
부지불식,생각하지도 못하고 알지도 못함.
부지불식간,생각하지도 못하고 알지도 못하는 사이.
부직포,천을 짜지 않고 섬유를 배열하여 접착제나 섬유의 엉킴을 이용하여 만든 것.
부차적,주된 것이 아니라 그것에 딸린 것.
부채꼴,펼쳤다 접었다 하는 부채를 펼쳤을 때처럼 생긴 모양.
부채꼴,각도를 이루는 두 개의 반지름과 하나의 둥근 둘레로 둘러싸인 면.
부채질,"(비유적으로) 어떤 감정이나 싸움, 상황 등이 더욱 심해지도록 부추기는 일."
부채춤,한복을 입고 족두리를 쓴 여자들이 양손에 화려한 부채를 들고 추는 춤.
부챗살,부채의 뼈대를 이루는 여러 가닥의 가늘고 긴 대나무 조각.
부처님,(높임말로) 불교의 창시자인 석가모니.
부처님,(높임말로) 부처의 모습을 표현한 그림이나 조각.
부총리,국무총리를 돕고 국무총리가 없을 때에는 국무총리의 역할을 대신하는 직위. 또는 그런 직위에 있는 사람.
부총장,"대학에서, 총장을 돕고 총장이 없을 때에는 총장을 대신하는 총장에 다음가는 직위. 또는 그 직위에 있는 사람."
부친상,아버지의 죽음.
부침개,여러 가지 재료를 넣은 걸죽한 반죽을 기름에 얇고 넓적하게 부쳐 낸 음식.
부평초,"몸이 겉은 풀색이고 안은 자주색인 세 개의 둥근 잎으로 이루어져 있고, 논이나 연못의 물 위에 떠서 자라는 풀."
부호화,주어진 정보를 어떤 표준적인 형태로 바꾸거나 표준 형태를 정보화함.
부화뇌동,자기 생각이나 주장 없이 남의 의견에 따라 움직임.
부활절,"기독교에서, 십자가에 못 박혀 세상을 떠난 예수가 사흘 만에 다시 살아난 일을 기념하는 날."
부흥회,"기독교에서, 교인들의 믿음을 더 굳게 하며 잘못을 뉘우치게 하려고 모이는 예배 모임."
북극성,북극 가까이에 있어 지구가 자전하는 동안 위치가 거의 변하지 않아 방향의 길잡이 역할을 하는 별.
북극해,"북극을 중심으로 하여 유라시아 대륙과 북아메리카 대륙에 둘러싸여 있는 바다. 오대양 중 가장 작은 바다로, 겨울에는 두꺼운 얼음으로 덮여 있고 여름에는 유빙들이 떠다닌다."
북동부,어떤 지역의 북동쪽 부분.
북동쪽,북쪽과 동쪽 사이의 방향.
북두칠성,북쪽 하늘에 국자 모양으로 뚜렷하게 빛나는 일곱 개의 별.
북망산,(비유적으로) 무덤이 많은 곳이나 사람이 죽어서 묻히는 곳.
북반구,적도를 기준으로 지구를 둘로 나누었을 때의 북쪽 부분.
북새통,많은 사람들이 한 곳에 모여서 북적거리는 상황.
북서부,어떤 지역의 북서쪽 부분.
북서쪽,북쪽과 서쪽 사이의 방향.
북서풍,북쪽과 서쪽 사이에서 불어오는 바람.
북소리,북을 칠 때 나는 소리.
북어포,북어를 여러 개의 얇은 조각으로 찢어서 양념을 하여 말린 것.
북엇국,북어를 잘게 찢어서 파를 넣고 달걀을 풀어서 끓인 국.
북유럽,"유럽의 북부. 덴마크, 스웨덴, 노르웨이, 핀란드, 아이슬란드 등이 포함된다."
북태평양,적도를 기준으로 태평양의 북쪽 부분.
북풍한설,북쪽에서 불어오는 바람과 차가운 눈.
북한산,"서울특별시의 북부와 경기도 고양시 사이에 있는 산. 국립 공원의 하나이며, 백운대, 인수봉, 만경대의 세 봉우리가 있어 삼각산이라고도 한다."
분가루,화장품으로 쓰는 분의 가루.
분가루,하얀 가루.
분갈이,화분에 심은 식물을 다른 화분에 옮겨 심는 것.
분기별,분기에 따른 구별.
분기점,한 길로 이어져 있던 도로나 길이 여러 갈래로 나누어지는 곳.
분단국가,본래 하나였는데 통치 이데올로기가 다른 둘 이상의 정부로 나누어진 국가.
분담금,나누어서 내는 돈.
분리대,자동차가 반대 차선의 도로로 들어가지 못하게 막거나 차선의 속도를 구별하기 위해 세운 물건.
분리수거,쓰레기를 종류별로 따로 모아서 거두어 감.
분만실,"병원에서, 아이를 낳을 때에 쓰는 방."
분무기,물이나 약품 등을 뿜어내는 도구.
분별력,옳고 그름을 판단하여 바른 생각을 하는 능력.
분비물,분비 과정에서 나오는 침이나 땀 등의 물질.
분석력,사물이나 사회의 현상을 분석할 수 있는 능력.
분석적,어떤 현상이나 사물을 여러 요소나 성질로 나누는 것.
분석표,분석한 결과를 나타내는 표.
분수대,좁은 구멍을 통해서 물을 위로 내뿜도록 만들어 놓은 시설.
분수령,물이 두 방향으로 갈라져서 흐르는 경계가 되는 산맥.
분수령,(비유적으로) 어떤 일이 발전하게 되거나 전혀 다른 단계로 넘어가게 되는 전환점.
분식점,"김밥, 떡볶이, 라면 등 간단하게 먹을 수 있는 음식을 파는 가게."
분식집,"김밥, 떡볶이, 라면 등 간단하게 먹을 수 있는 음식을 파는 가게."
분신자살,자기 몸에 스스로 불을 붙여 목숨을 끊음.
분양권,토지나 건물 등을 살 수 있는 권리.
분업화,일이 나누어서 하는 방식으로 됨. 또는 그런 방식으로 되게 함.
분열증,"사고의 장애나 감정, 의지, 충동 등의 이상으로 정신이 흐트러지거나 인격이 여러 개로 나뉘는 증세. 또는 그런 병."
분위기,주위의 상황이나 환경.
분위기,어떤 집단 안에 전체적으로 떠도는 기운.
분장실,배우 등이 극중 인물처럼 보이도록 꾸밀 수 있게 여러 가지 물품을 갖추어 놓은 방.
분출구,액체나 기체가 세차게 뿜어져 나오는 구멍.
분출구,쌓였던 감정이 한꺼번에 터져 나오는 곳. 또는 쌓였던 감정을 터뜨리기 위한 수단.
분탕질,집안의 재산을 모두 없애 버리는 것.
분탕질,시끄럽게 떠들며 소동을 일으키는 짓.
분탕질,(비유적으로) 쳐들어가서 재물을 빼앗거나 훔치는 짓.
분포도,일정한 범위에 나뉘어 흩어져 있는 상태를 알아보기 좋게 만든 도표나 지도.
분향소,향 연기를 피우면서 제사나 예불 의식 등을 하는 장소.
분홍빛,빨간빛과 흰빛의 중간.
분홍색,빨간색과 흰색의 중간색.
분화구,"화산이 폭발할 때 가스, 수증기, 화산재, 용암 등이 내뿜어져 나오는 구멍."
불간섭,남의 일에 끼어들거나 참견하지 않음.
불감증,어떤 일에 대해 감각이 둔하거나 익숙해져서 특별한 느낌을 받지 못하는 일.
불감증,성교할 때 쾌감을 느끼지 못하는 증상.
불개미,붉은색의 작은 개미.
불개입,어떤 일에 직접 끼어들지 않음.
불경기,"사회의 경제 활동이 활발하지 않아, 물가와 임금이 내리고 생산이 줄어들며 실업이 늘어나는 상태."
불경죄,마땅히 존경하는 태도를 보여야 할 대상에 대하여 예의 없이 군 죄.
불고기,얇게 썰어 양념한 돼지고기나 쇠고기를 불에 구운 한국 전통 음식.
불공평,손해나 이익 등이 고르지 못하고 어느 한쪽으로 치우침.
불구덩이,불이 타고 있는 가운데.
불구덩이,(비유적으로) 아주 위급하고 고통스러운 상황.
불구속,죄를 저질렀다고 의심되지만 강제로 잡아 가두지 않음.
불구자,몸의 어느 부분이 온전하지 못한 사람.
불국사,"경상북도 경주시에 있는 신라 시대의 절로 정식 이름은 '경주 불국사'이다. 신라 불교 예술의 귀중한 유적으로 다보탑, 석가탑 등 많은 문화유산이 있다."
불규칙,규칙에서 벗어나 있음. 또는 규칙이 없음.
불규칙성,일정한 규칙에서 벗어나는 성질. 또는 규칙이 없는 성질.
불규칙적,어떤 일이나 현상에 일정한 형식이 나타나지 않는 것.
불균등,차이가 있어 고르지 않음.
불균형,어느 한쪽으로 기울거나 치우쳐 고르지 않음.
불기소,"법률에서, 사건이 죄가 되지 않거나 범죄를 증명할 수 없을 때 검사가 법원에 공소를 요청하지 않음."
불기운,불에서 나오는 뜨거운 기운.
불꽃놀이,밤에 화약을 공중으로 쏘아 올려 여러 가지 빛깔과 모양의 불꽃이 퍼지게 하는 일.
불덩어리,(비유적으로) 몹시 뜨겁게 열이 나는 몸이나 뜨거운 물체.
불덩이,(비유적으로) 몹시 뜨겁게 열이 나는 몸이나 뜨거운 물체.
불도그,머리가 크고 넓적하며 양쪽 볼이 처져 있는 개.
불도저,(비유적으로) 앞뒤를 생각하지 않고 무조건 일을 밀고 나가는 사람.
불량자,행동이나 성품이 나쁜 사람.
불로장생,늙지 않고 오래 삶.
불로초,먹으면 늙지 않는다는 상상의 풀.
불만족,마음에 차지 않음.
불명예,사람들로부터 높은 평가나 좋은 평판을 받지 못함.
불모지,(비유적으로) 아무런 개발이나 발전이 되지 않은 곳. 또는 그런 상태.
불문가지,묻지 않아도 명백하게 알 수 있음.
불문법,문서의 형식을 갖추고 있지는 않으나 오랜 관습이나 이전의 판결 등을 바탕으로 하여 존재하는 법.
불문율,문서의 형식을 갖추고 있지는 않으나 오랜 관습이나 이전의 판결 등을 바탕으로 하여 존재하는 법.
불문율,공식화되지는 않았으나 한 사회나 공동체의 구성원들이 서로 받아들여 지키고 있는 규칙.
불바다,(비유적으로) 온통 불길에 휩싸여 있는 넓은 지역.
불발탄,발사되지 않거나 발사 후에도 터지지 않은 탄알이나 폭탄.
불법적,법에 어긋나는 것.
불법화,법에 어긋나는 것으로 됨. 또는 법에 어긋나는 것으로 규정함.
불벼락,(비유적으로) 호된 꾸중이나 책망.
불변성,변하지 않는 성질.
불볕더위,햇볕이 매우 뜨겁게 내리쬘 때의 더위.
불복종,다른 사람의 명령이나 의견에 따르지 않음.
불사조,"(비유적으로) 영원히 죽지 않는다는 전설의 새와 같이, 어떠한 어려움이나 고난도 이겨 내는 사람."
불상사,운이 좋지 않은 나쁜 일.
불성실,태도나 행동이 진실하거나 정성스럽지 않음.
불세출,좀처럼 세상에 나타나지 않을 만큼 매우 뛰어남.
불순물,순수한 물질 속에 섞인 다른 성질의 물질.
불시착,비행기가 고장이나 기상 악화 등으로 목적지에 이르기 전에 예정되지 않은 장소에 착륙함.
불신감,믿지 못하는 느낌이나 마음.
불신임,남을 믿지 못해 일을 맡기지 않음.
불신자,종교를 믿지 않는 사람.
불쏘시개,"불을 피울 때 불을 옮겨 붙이기 위하여 먼저 태우는 마른 잎, 종이, 나무 등의 물건."
불쏘시개,(비유적으로) 중요한 일이 잘될 수 있도록 하는 데에 먼저 필요한 것.
불안감,마음이 편하지 않고 걱정되는 느낌.
불안정,일정한 상태를 유지하지 못하고 계속 변하거나 흔들림.
불여우,"(비유적으로) 몹시 변덕스럽고 못된, 꾀가 많은 여자."
불연성,불에 타지 않는 성질.
불연속,죽 이어지지 않고 중간에 끊어져 있음.
불연속선,어떤 상태가 계속 지속되지 않고 변화가 생기는 상태.
불연속성,죽 이어지지 않고 중간에 끊어져 있는 성질.
불연속적,죽 이어지지 않고 중간에 끊어져 있는 것.
불요불급,필요하지도 않고 급하지도 않음.
불원간,시간이 오래지 않은 동안.
불이익,이익이 되지 않고 손해가 됨.
불이행,약속이나 계약 등을 실제 행동으로 옮기지 않음.
불임증,임신을 못 하는 증상.
불입금,"세금, 등록금, 보험금 등과 같이 관계 기관에 내는 돈."
불입액,"세금, 등록금, 보험금 등과 같이 관계 기관에 내는 돈."
불자동차,불이 난 것을 끄기 위해 사용되는 차.
불장난,불을 가지고 노는 장난.
불장난,(비유적으로) 몹시 위험한 행동.
불장난,(속된 말로) 남녀가 분별없이 사귀는 일.
불제자,불교의 진리를 깊이 믿고 의지하는 사람.
불조심,불이 나지 않도록 주의를 기울이고 마음을 씀.
불참석,어떤 자리에 참가하지 않거나 참석하지 않음.
불참자,어떤 자리에 참가하지 않거나 참석하지 않은 사람.
불철주야,어떤 일에 열중하느라 조금도 쉬지 않고 밤낮을 가리지 않음.
불청객,아무도 오라고 하지 않았는데도 스스로 찾아온 손님.
불출마,선거에 후보자로 나서지 않음.
불충분,만족할 만큼 넉넉하지 않고 모자람.
불친절,사람을 대하는 태도가 상냥하거나 부드럽지 않음.
불침번,밤에 잠을 자지 않고 사고가 나지 않도록 살피며 지키는 일. 또는 그 일을 맡은 사람.
불쾌감,어떤 일이 마음에 들지 않아 기분이 좋지 않은 느낌.
불쾌지수,사람이 무더위에 대하여 느끼는 불쾌감의 정도를 기온과 습도의 관계로 나타내는 수치.
불투명,어떤 물건의 속이 비치도록 맑지 않고 흐릿함.
불투명,"사람의 말이나 태도, 벌어진 상황 등이 분명하지 않음."
불투명,앞으로의 움직임이나 미래의 전망 등이 미리 짐작할 수 없게 분명하지 않음.
불특정,대상이나 장소 등을 특별히 정하지 않음.
불평불만,마음에 들지 않아 못마땅하고 마음에 차지 않아 언짢음.
불포화,"주어진 조건에서, 물질의 상태가 어떤 작용이나 변화가 더 이상 진행되지 못하는 최대한도까지 이르지 않음. 또는 그런 상태."
불한당,돌아다니며 남의 재물을 빼앗는 사람들의 무리.
불합격,어떤 조건이나 격식에 맞지 않음.
불합리적,이론이나 이치에 맞지 않는 것.
불협화음,(비유적으로) 어떤 집단의 사람들 사이가 좋지 않음을 이르는 말.
불확실,확실하지 않음.
불확실성,확실하지 않은 성질. 또는 그런 상태.
붉은색,잘 익은 고추나 피의 빛깔과 같이 짙은 빨간 색.
붓글씨,붓으로 쓴 글씨.
붕어빵,(비유적으로) 얼굴이 매우 닮은 사람.
브러시,머리카락을 가지런하게 할 때 쓰는 물건.
브런치,아침 겸 점심으로 먹는 오전 식사.
브리핑,요점을 간추린 간단한 보고나 설명. 또는 그런 보고나 설명을 하기 위한 문서나 모임.
블라우스,"여자들이 입는, 촉감이 매끄럽고 하늘하늘한 셔츠."
블라인드,창에 달아 볕을 가리는 물건.
블랙홀,거대한 밀도와 중력을 가져 빛을 포함한 주변의 모든 것을 끌어들이는 천체.
블로거,"인터넷 블로그에 자신의 관심사에 따라 칼럼, 일기, 사진 등을 올리는 사람."
블로그,"자신의 관심사에 따라 자유롭게 칼럼, 일기, 사진 등을 올리는 웹 사이트."
블록버스터,엄청난 비용을 투자해서 만든 거대한 규모의 드라마나 영화.
블루베리,검은 빛깔의 작고 둥근 모양에 달고 신 맛이 나는 열매. 
블루칼라,주로 생산직에 종사하는 노동자.
블루투스,전자 제품 간 데이터를 무선으로 주고받을 수 있는 통신 기술.
비거리,야구나 골프 등에서 친 공이 날아간 거리.
비격식적,격에 맞는 일정한 방식이 아닌 것.
비격식체,한국어에서 대화를 나누는 상대에게 부드러운 느낌을 주는 상대 높임법 중 하나.
비공식적,국가나 사회가 인정하지 않은 개인적인 것.
비관적,인생을 어둡게만 보아 슬프고 절망스럽게 생각하는 것.
비관적,앞으로의 일이 잘 안될 것이라고 보는 것.
비교과,학교에서 학생들에게 가르치고 점수를 매기는 교과목 이외의 모든 영역.
비교적,어떤 것을 다른 것과 견주어 무엇이 같고 다른지 살펴보는 것.
비구름,비를 내리게 하는 구름.
비눗갑,비누를 담아 두는 작은 상자.
비닐봉지,비닐로 만든 봉지.
비닐하우스,"적당한 온도를 유지하여 채소, 꽃을 빠르게 기르거나 제철이 아닌 식물을 재배하기 위하여 비닐로 만든 온실."
비대면,직접 얼굴을 보며 만나지 않음.
비대칭,양쪽의 크기나 모양이 같지 않은 것.
비도덕적,인간으로서 따르고 지켜야 할 도리에 맞지 않는 것.
비동맹국,제이 차 세계 대전 이후 냉전에 참여하지 않고 중립을 지키며 자주독립을 주장한 나라.
비명횡사,갑작스러운 사고 등을 당하여 제명대로 살지 못하고 일찍 죽음.
비몽사몽,꿈인지 현실인지도 모를 만큼 정신이 흐릿한 상태.
비밀리,남에게 비밀로 하는 가운데.
비밀문서,남에게 알려지면 안 되는 문서.
비바람,비와 바람.
비바람,세차게 내리는 비와 함께 강하게 부는 바람.
비분강개,슬프고 분한 마음이 마구 치밀어 오름.
비빔국수,"국물 없이 고기, 채소 등과 여러 가지 양념을 넣어 비벼 먹는 국수."
비빔밥,"고기, 버섯, 계란, 나물 등에 여러 가지 양념을 넣고 비벼 먹는 밥."
비상계단,건물 안에서 뜻밖에 위험한 일이 생겼을 때 건물 밖으로 이동할 수 있도록 만들어 놓은 계단.
비상구,갑작스러운 사고가 생겼을 때 급히 밖으로 나갈 수 있도록 만들어 놓은 출입구.
비상근무,뜻밖에 긴급한 일이 생겼을 때 이를 해결하기 위하여 하는 근무.
비상금,뜻밖에 급한 일이 생겼을 때 쓰려고 따로 준비해 둔 돈.
비상벨,위급한 상황을 알리기 위하여 울리는 벨.
비상시,뜻밖의 위급한 일이 일어난 때.
비상식,사람들이 보통 알고 있거나 알아야 하는 지식과 맞지 않는 지식.
비상용,뜻밖의 위급한 일이 일어났을 때 사용함. 또는 그런 물건.
비상조치,뜻밖의 위급한 일이 일어났을 때 임시로 급히 처리하는 일.
비서실,비서의 일을 맡은 사람이 사무를 보는 방. 또는 그런 기관.
비소설,"꾸며 낸 이야기가 아닌, 사실을 바탕으로 쓴 문학 작품."
비속어,고상하지 않고 품위가 없는 천한 말.
비수기,상품이 잘 팔리지 않고 서비스의 수요가 적은 시기.
비수도권,수도권이 아닌 지역.
비스킷,"밀가루에 설탕, 버터, 우유 등을 섞어 반죽해서 구운 과자."
비약적,지위나 수준 등이 갑자기 빠른 속도로 높아지거나 더 나아지는 것.
비영리,재산상의 이익을 얻지 않음.
비웃음,상대를 얕보거나 놀리거나 흉을 보듯이 웃는 행위. 또는 그런 웃음.
비위생적,건강을 지키는 데 좋지 않거나 알맞지 않은 것.
비윤리적,사람이 마땅히 지켜야 할 도리를 따르지 않는 것.
비음화,"받침 'ㄱ, ㄷ, ㅂ'이 비음 'ㄴ, ㅁ'의 앞에서 'ㅇ, ㄴ, ㅁ'으로 바뀌는 음운 현상."
비장애인,몸에 장애가 없고 정신 능력이 원활하여 일상생활을 하는 데 불편이 없는 사람.
비전문적,해당 분야를 전문적으로 하지 않은 것.
비정규직,근로 기간이나 복지 혜택 등에서 제대로 보장을 받지 못하는 직위나 직무.
비정상,바뀌거나  탈이 생겨 제대로가 아닌 상태.
비정상적,바뀌거나 탈이 생겨 상태가 제대로가 아닌 것.
비주류,중심이 되는 큰 세력이나 흐름이 아닌 소수의 것.
비주얼,주로 사람의 겉모습을 이르는 말.
비준서,국가에서 조약이 맺어졌음을 승인했을 때 그것을 증명하기 위하여 만든 문서.
비즈니스,일정한 목적에 의하여 계획을 세우고 어떤 일을 경영해 나가는 것. 또는 그 일.
비지땀,몹시 힘든 일을 할 때 흘러내리는 땀.
비지떡,(비유적으로) 보잘것없는 것.
비취색,비취의 빛깔과 같이 곱고 짙은 녹색.
비키니,상하가 분리되어 브래지어와 팬티로만 이루어진 여자용 수영복.
비탈길,가파르게 기울어져 있는 길.
비판력,무엇에 대해 자세히 따져 옳고 그름을 판단할 수 있는 능력.
비판적,무엇에 대해 자세히 따져 옳고 그름을 밝히거나 잘못된 점을 지적하는 것.
비표준어,표준어가 아닌 말.
비합리,이론이나 이치에 맞지 않음.
비합리성,이론이나 이치에 맞지 않는 성질. 또는 그런 요소.
비합리적,이론이나 이치에 맞지 않는 것.
비행기,사람이나 물건을 싣고 하늘을 날아다니는 교통수단.
비행기표,비행기를 타기 위하여 돈을 내고 사는 표.
비행사,비행기의 조종을 직업으로 하는 사람.
비행선,큰 기구 속에 가벼운 기체를 넣어 하늘을 날아다닐 수 있게 만든 항공기.
비행장,비행기들이 뜨고 내리고 머물 수 있도록 여러 시설을 갖추어 놓은 장소.
비현실적,실제로 존재하지 않거나 실현될 수 없는 것.
비회원,어떤 모임에 소속되어 있지 않은 사람.
비효율적,들인 노력에 비해 성과가 만족스럽지 못한 것.
빈곤층,가난하여 생활하기가 어려운 계층. 또는 그런 사람들.
빈대떡,물에 불린 녹두를 갈아서 채소와 고기 등을 넣고 둥글넓적하게 부친 전.
빈민가,가난한 사람들이 모여 사는 동네.
빈익빈,가난할수록 더 가난해짐.
빈자리,사람이 앉지 않아 비어 있는 자리.
빈자리,단체나 조직에서 사람이 빠져 비어 있는 직위.
빈주먹,아무것도 갖고 있지 않은 주먹.
빈주먹,(비유적으로) 어떤 일을 하는데 당연히 가지고 있어야 할 것이 없는 상태.
빈혈증,핏속에 산소를 운반하는 성분이 정상보다 줄어든 상태.
빌트인,집이나 사무실 등에 각종 가구나 가전 제품 등을 겉으로 보이지 않게 설치하는 것.
빗방울,비가 되어 하늘에서 떨어지는 물방울.
빗소리,빗방울이 떨어지는 소리.
빗줄기,줄처럼 보이는 굵고 세차게 내리는 비.
빙판길,물이나 눈이 얼어붙어서 미끄러운 길.
빚쟁이,(낮잡아 이르는 말로) 빚을 진 사람.
빨간불,(비유적으로) 위험을 알려 주는 분위기나 눈치.
빨래방,세탁기에 동전을 넣고 빨래를 할 수 있도록 시설을 갖춘 곳.
빨래집게,"빨래를 줄에 널어 말릴 때, 빨래가 바람에 날아가거나 떨어지지 않도록 집는 도구."
빨래판,빨랫감을 올려놓고 비빌 수 있도록 여러 개의 줄이 길게 파인 넓적한 나무 판.
빨랫감,빨아야 할 옷이나 천.
빨랫방망이,빨랫감의 때를 빼기 위해 두들기는 데 쓰는 긴 나뭇조각.
빨랫비누,빨래할 때 쓰는 비누.
빨랫줄,빨래한 옷이나 천 등을 널어서 말리기 위해 다는 줄.
빨치산,드러나지 않는 곳에서 적을 기습적으로 공격하는 비정규 부대의 군인.
빵가루,말린 빵을 잘게 부수어 만든 가루.
뺑덕어멈,고전 소설 ‘심청전’에 나오는 인물 중 하나. 심청이의 계모로 심술궂고 수다스럽다. 심청이가 떠난 후 심 봉사의 재산을 탕진하고 결국에는 심 봉사를 버리고 떠나는 인물이다.
뺑덕어멈,(비유적으로) 심술궂고 수다스러운 못생긴 여자.
