word,meaning
감투상,경기나 시합을 할 때 이기고 지는 것에 상관없이 최선을 다한 것을 칭찬하여 주는 상.
감화력,좋은 영향을 주어 생각이나 행동을 바꾸는 힘.
갑갑증,아주 답답한 느낌.
갑론을박,여러 사람이 서로 자신의 주장을 내세우고 상대의 주장을 반대하여 말함.
갑상선,"목의 물렁뼈 아래에 위치한, 몸의 성장이나 신경 활동을 조절하는 호르몬이 분비되는 신체 기관."
갑판장,갑판에서 이루어지는 작업을 책임지고 지위하는 사람. 또는 그러한 직위.
값어치,"어떤 것이 지니는, 인정할 만한 가치."
갓난애,태어난 지 얼마 안 된 아이.
갓난쟁이,태어난 지 얼마 되지 않은 아이.
강강수월래,→ 강강술래
강강술래,대보름이나 한가위에 여러 사람이 함께 손을 잡고 원을 그리며 빙빙 돌면서 춤을 추고 노래를 부르는 민속놀이.
강경책,태도나 주장이 강해서 타협하거나 양보하지 않는 대책.
강낭콩,"긴 껍질에 흰색이나 분홍색, 또는 갈색의 길쭉하고 큰 콩이 들어 있는 식물. 또는 그 콩."
강냉이,줄기가 높고 잎이 길며 수염 같은 꽃이 피는 식물의 알갱이가 촘촘한 열매.
강냉이,과자처럼 먹기 위해 마른 옥수수 알을 튀겨서 부풀게 만든 것.
강대국,경제적으로나 군사적으로 힘이 세고 영토가 넓은 나라.
강더위,오랫동안 비가 오지 않고 햇볕만 센 심한 더위.
강도질,강제로 남의 돈이나 물건을 빼앗는 짓.
강된장,된장에 쇠고기나 버섯 등을 조금 넣고 육수를 넣어 물기가 적어질 때까지 끓인 것.
강력계,경찰서에서 살인이나 강도와 같은 강력 범죄를 다루는 사무를 맡은 부서. 또는 그런 일을 맡은 사람.
강력반,경찰서에서 살인이나 강도와 같은 강력 범죄를 다루는 사무를 맡은 부서.
강력범,폭력이나 흉기를 사용하여 강도나 살인 같은 범죄를 저지른 사람.
강바닥,강의 밑바닥.
강바람,강 주변에서 부는 바람.
